Symbol,ad
VAKKO,Vakko Tekstil Ve Hazır Giyim Sanayi İşletmeleri A.
VANGD,Vanet Gıda Sanayi İç ve Dış Ticaret A.Ş.
VBTYZ,VBT YAZILIM
VERTU,Verusatürk Girişim Sermayesi Yatırım Ortaklığı A.Ş
VERUS,Verusa Holding A.Ş.
VESBE,Vestel Beyaz Eşya Sanayi ve Ticaret A.Ş.
VESTL,Vestel Elektronik Sanayi Ve Ticaret A.Ş.
VKFYO,Vakıf Menkul Kıymet Yatırım Ortaklığı A. Ş.
VKGYO,Vakıf Gayrimenkul Yatırım Ortaklığı A.Ş.
VKING,Viking Kağıt Ve Selüloz A.Ş.
YAPRK,Yaprak Süt ve Besi Çiftlikleri Sanayi ve Ticaret A
YATAS,Yataş Yatak Ve Yorgan San.Tic.A.Ş.
YAYLA,Yayla Enerji Üretim Turizm ve İnşaat Ticaret A.Ş.
YBTAS,Yibitaş Yozgat İşçi Birliği İnşaat Malzemeleri Tic
YEOTK,YEO TEKNOLOJİ ENERJİ
YESIL,Yeşil Yatırım Holding A.Ş.
YGGYO,Yeni Gimat Gayrimenkul Yatırım Ortaklığı A.Ş.
YGYO,Yeşil Gayrimenkul Yatırım Ortaklığı A.Ş.
YKBNK,Yapı Ve Kredi Bankası A.Ş.
YKSLN,YÜKSELEN ÇELİK A.Ş.
YONGA,Yonga Mobilya Sanayi Ticaret A.Ş.
YUNSA,Yünsa Yünlü Sanayi Ve Ticaret A.Ş.
YYAPI,Yeşil Yapı Endustrisi A.Ş.
YYLGD,YAYLA AGRO GIDA
Z30EA,ZIRAAT PORTFOY BIST30 EA ENDEKSI HSY BYF
Z30KE,Ziraat Portföy Katılınm  30 Eşit Ağırlıklı Endeksi
Z30KP,Ziraat Portföy Katılım 30 Endeksi
ZEDUR,ZEDUR ENERJI
ZELOT,ZP BIST 50-30 ENDEKSİ HİSSE SENEDİ YOĞUN  BYF
ZGOLD,ZIRAAT PORTFOY ALTIN BYF
ZGOLDF,ZIRAAT PORTFOY ALTIN BYF
ZOREN,Zorlu Enerji Elektrik Üretim A.Ş.
ZPBDL,ZIRAAT PORTFOY BIST BANKA DISI LIKIT
ZPLIB,ZIRAAT PORTFOY BIST LIKIT BANKA HY BYF
ZPT10,ZIRAAT PORTFOY YP TEKNOLOJI ILETISIM 10 HY BYF
ZPX30,ZIRAAT PORTFOY BIST 30 HY BYF
ZRE20,ZIRAAT PORTFOY RISK ESIT BD20 ENDEKSI HSY BYF
ZRGYO,Ziraat Gayrimenkul Yatırım Ortaklığı A.Ş
ZTM15,ZIRAAT PORTFOY YP LIKIT TEMETTU ENDEKS HSY BYF
