Symbol,ad
DAGHL,Dagi Yatırım Holding A.Ş.
DAGI,Dagi Giyim Sanayi ve Ticaret A.Ş.
DAPGM,DAP GAYRİMENKUL
DARDL,Dardanel Önentaş Gıda Sanayi A.Ş.
DENGE,Denge Yatırım Holding A.Ş.
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.
DERIM,Derimod Konfeksiyon Ayakkabı Deri San.Ve Tic.A.Ş.
DESA,Desa Deri Sanayi ve Ticaret A.Ş.
DESPC,Despec Bilgisayar Pazarlama ve Ticaret A.Ş.
DEVA,Deva Holding A.Ş.
DGATE,Datagate Bilgisayar Malzemeleri Ticaret A.Ş.
DGGYO,Doğuş Gayrimenkul Yatırım Ortaklığı A.Ş.
DGNMO,DOGANLAR MOBILYA
DIRIT,Diriteks Diriliş Tekstil Sanayi ve Ticaret A.Ş.
DITAS,Ditas Doğan Yedek Parça İmalat Ve Teknik A.Ş.
DJIST,DJ ISTANBUL T20
DMSAS,Demisaş Döküm Emaye Mamülleri Sanayi A.Ş.
DNISI,DİNAMİK ISI
DOAS,Doğuş Otomotiv Servis ve Ticaret A.Ş.
DOBUR,Doğan Burda Dergi Yayıncılık ve Pazarlama A.Ş.
DOCO,DO & CO Aktiengesellschaft
DOGUB,Doğusan Boru Sanayii Ve Ticaret A.Ş.
DOHOL,Doğan Sirketler Grubu Holding A.Ş.
DOKTA,DOKTAS DOKÜMCÜLÜK
DURDO,Duran Doğan Basım ve Ambalaj San. A.Ş.
DYOBY,Dyo Boya Fabrikaları Sanayi ve Ticaret A.Ş.
DZGYO,Deniz Gayrimenkul Yatırım Ortaklığı A.Ş.
ECILC,EİS Eczacıbaşı İlaç Sınai ve Finansal Yatırımlar S
ECZYT,Eczacıbaşı Yatırım Holding Ortaklığı A.Ş.
EDATA,E-DATA  TEKNOLOJİ
EDATAHE,E-Data Teknoloji Pazarlama A.Ş.
EDIP,Edip Gayrimenkul Yatırım Sanayi ve Ticaret A.Ş.
EGCEY,EGELI&CO ENERJI YATIRIM
EGCYH,Egeli&Co Yatırım Holding A.Ş.
EGCYO,Egeli & Co Tarım Girişim Sermayesi Yatırım Ortaklı
EGEEN,Ege Endustri Ve Ticaret Anonim A.Ş.
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ
EGGUB,Ege Gubre Sanayii A.Ş.
EGPRO,Ege Profil Ticaret Ve Sanayi A.Ş.
EGSER,Ege Seramik Sanayi Ve Ticaret A.Ş.
EKGYO,Emlak Konut Gayrimenkul Yatırım Ortaklığı A.Ş.
EKIZ,Ekiz Kimya Sanayi ve Ticaret A. Ş.
ELITE,ELİTE GIDA
EMKEL,Emek Elektrik Endüstrisi A.Ş.
EMNIS,Eminiş Ambalaj Sanayi Ve Ticaret A.Ş.
ENJSA,Enerjisa Enerji A.Ş.
ENKAI,Enka İnşaat ve Sanayi A.Ş.
ENSRI,ENSARİ GIDA
EPLAS,Egeplast Ege Plastık Ticaret Ve Sanayi A.Ş.
ERBOS,Erbosan Erciyas Boru Sanayii Ve Ticaret A.Ş.
ERCB,ERCİYAS ÇELİK
EREGL,Eregli Demir Ve Çelik Fabrikaları T.A.Ş.
ERSU,Ersu Meyve Ve Gıda Sanayi A.Ş.
ESCAR,ESCAR TURİZM
ESCOM,Escort Teknoloji Yatırım A.Ş.
ESEN,ESENBOĞA ELEKTRİK ÜRTETİM A.Ş
ETILR,Etiler Gıda Ve Ticari Yatırımlar Sanayi Ve Ticaret
ETYAT,Euro Trend Yatırım Ortaklığı A.Ş.
EUHOL,Euro Yatırım Holding A.Ş.
EUKYO,Euro Kapital Yatırım Ortaklığı A.Ş.
EUREN,EUROPEN  ENDÜSTRİ
EUYO,Euro Menkul Kıymet Yatırım Ortaklığı A.Ş.
EYGYO,EYG GAYRİMENKUL
FADE,FADE GIDA YAT. SAN. TİC. A.Ş.
FENER,Fenerbahçe Futbol AŞ
FLAP,Flap Kongre Toplantı Hizmetleri Otomotiv ve Turizm
FMIZP,Federal-Mogul İzmit Piston Ve Pim Sanayi A.Ş.
FONET,Fonet Bilgi Teknolojileri A.Ş.
FORMT,FORMET ÇELİK SANAYİ
FRIGO,Frıgo - Pak Gıda Maddeleri San. Ve Tic. A.Ş.
FROTO,Ford Otomotiv Sanayi A.Ş.
GARAN,T.Garanti Bankası A.Ş.
