Sıra No,Symbol,Bülten Adı
159,RUBNS,RUBENIS TEKSTIL
160,SAFKR,SAFKAR EGE SOGUTMACILIK
161,SANFM,SANIFOAM SUNGER
162,SANKO,SANKO PAZARLAMA
163,SAMAT,SARAY MATBAACILIK
164,SASA,SASA POLYESTER
165,SAYAS,SAY YENILENEBILIR ENERJI
166,SEKUR,SEKURO PLASTIK
167,SELEC,SELCUK ECZA DEPOSU
168,SELGD,SELCUK GIDA
169,SELVA,SELVA GIDA
170,SRVGY,SERVET GMYO
171,SILVR,SILVERLINE ENDUSTRI
172,SNGYO,SINPAS GMYO
173,SMRTG,SMART GUNES ENERJISI TEK.
174,SMART,SMARTIKS YAZILIM
175,SOKE,SOKE DEGIRMENCILIK
176,SONME,SONMEZ FILAMENT
177,SUNTK,SUN TEKSTIL
178,SUWEN,SUWEN TEKSTIL
179,TKNSA,TEKNOSA IC VE DIS TICARET
180,TGSAS,TGS DIS TICARET
181,TDGYO,TREND GMYO
182,TUKAS,TUKAS
183,TMSN,TUMOSAN MOTOR VE TRAKTOR
184,TUPRS,TUPRAS
185,TRCAS,TURCAS PETROL
186,TUREX,TUREKS TURIZM TASIMACILIK
187,THYAO,TURK HAVA YOLLARI
188,TRILC,TURK ILAC SERUM
189,PRKAB,TURK PRYSMIAN KABLO
190,TTRAK,TURK TRAKTOR
191,ULUSE,ULUSOY ELEKTRIK
192,USAK,USAK SERAMIK
193,VAKKO,VAKKO TEKSTIL
194,VBTYZ,VBT YAZILIM
195,VERUS,VERUSA HOLDING
196,VERTU,VERUSATURK GIRISIM
197,VESBE,VESTEL BEYAZ ESYA
198,YAPRK,YAPRAK SUT VE BESI CIFT.
199,YATAS,YATAS
200,YYLGD,YAYLA GIDA
201,YEOTK,YEO TEKNOLOJI ENERJI
202,YKSLN,YUKSELEN CELIK
203,YUNSA,YUNSA
