Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EQNR,Equinor ASA,$31.31,0.27,0.87%,97644933598.00,Norway,,2981262,Energy,Integrated oil Companies
IDBA,IDEX Biometrics ASA American Depositary Shares,$6.82,0.06,0.888%,106057963.00,Norway,,1442,Technology,Security Systems Services
OPRA,Opera Limited American Depositary Shares,$7.01,0.09,1.301%,627036284.00,Norway,2018,85546,Technology,Computer Software: Prepackaged Software
