Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$6.91,0.10,1.468%,41668105457.00,Spain,,722652,Finance,Commercial Banks
GRFS,Grifols S.A. American Depositary Shares,$9.20,0.02,0.218%,6245978385.00,Spain,,3031127,Health Care,Biotechnology: Pharmaceutical Preparations
SAN,Banco Santander S.A. Sponsored ADR (Spain),$3.35,0.06,1.824%,56261245306.00,Spain,,2913121,Finance,Commercial Banks
TEF,Telefonica SA Common Stock,$3.91,0.06,1.558%,22581178836.00,Spain,1988,732161,Telecommunications,Telecommunications Equipment
WBX,Wallbox N.V. Class A Ordinary Shares,$4.73,0.37,8.486%,770595371.00,Spain,,448646,Consumer Discretionary,Industrial Specialties
